City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
5,Kavieng,PG,82.8,light rain,-2.5744,150.7967,Kavieng Hotel
14,Cape Town,ZA,75.9,clear sky,-33.9258,18.4232,Townhouse Hotel
16,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti International Resort
20,Kapaa,US,81.12,broken clouds,22.0752,-159.319,Pono Kai Resort
21,Tutoia,BR,75.67,overcast clouds,-2.7619,-42.2744,Pousada San Vicente
28,Puerto Ayora,EC,76.55,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
29,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Grand Bel Air
32,Reconquista,AR,84.74,clear sky,-29.15,-59.65,Hotel San Martin
38,Atuona,PF,78.67,overcast clouds,-9.8,-139.0333,Pearl Resort
40,Miandrivazo,MG,76.95,broken clouds,-19.5167,45.4667,Baobab
41,Rikitea,PF,77.76,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
43,Nova Olimpia,BR,75.4,overcast clouds,-14.7972,-57.2881,Olímpia Hotel
49,Padang,ID,75.94,overcast clouds,-0.9492,100.3543,losmen Surya
51,Hithadhoo,MV,79.21,few clouds,-0.6,73.0833,Pebbles Inn
65,Kahului,US,77.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
72,Avarua,CK,82.45,clear sky,-21.2078,-159.775,Paradise Inn
74,Hilo,US,80.02,clear sky,19.7297,-155.09,Dolphin Bay Hotel
76,Sinnamary,GF,76.01,broken clouds,5.3833,-52.95,Hôtel du fleuve
78,Faanui,PF,81.16,overcast clouds,-16.4833,-151.75,Oa Oa Lodge
92,Namatanai,PG,83.75,light rain,-3.6667,152.4333,Namatanai Hotel
93,Kismayo,SO,76.19,clear sky,-0.3582,42.5454,Kismayo Hotel
95,Sao Filipe,CV,76.26,overcast clouds,14.8961,-24.4956,Bela Vista
103,Puerto Carreno,CO,83.79,broken clouds,6.189,-67.4859,Carreño Plaza
115,Kalmunai,LK,76.42,broken clouds,7.4167,81.8167,Saji new food
118,Cap Malheureux,MU,78.48,scattered clouds,-19.9842,57.6142,Cape Garden
122,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Hôtel 6500 CFA
132,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Decameron Isleño
134,Puerto Escondido,MX,78.91,few clouds,15.85,-97.0667,Hotel Barlovento
137,Luis Correia,BR,76.37,overcast clouds,-2.8792,-41.6669,Hotel Amaro
144,Mareeba,AU,79.52,overcast clouds,-17.0,145.4333,The Gateway Hotel
147,Caravelas,BR,75.67,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
148,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Prainha
154,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Deyna's City Inn
163,Saquarema,BR,75.52,few clouds,-22.92,-42.5103,Pousada Garota de Itaúna
174,Karratha,AU,82.2,broken clouds,-20.7377,116.8463,Karratha International Hotel
185,Bengkulu,ID,75.45,overcast clouds,-3.8004,102.2655,Dena Hotel
188,Tual,ID,83.28,overcast clouds,-5.6667,132.75,Suita
189,Inhambane,MZ,78.37,broken clouds,-23.865,35.3833,Hotel de Inhambane
201,Corpus Christi,US,79.16,haze,27.8006,-97.3964,Omni Corpus Christi Hotel
202,Bathurst,AU,75.96,few clouds,-33.4166,149.5806,King's Hotel
211,Cabo San Lucas,MX,75.61,few clouds,22.8909,-109.9124,Comfort Rooms
214,Georgetown,MY,77.95,few clouds,5.4112,100.3354,Page 63 hostel
234,Phuket,TH,82.09,few clouds,8.0,98.25,Amanpuri
241,Bubaque,GW,77.52,broken clouds,11.2833,-15.8333,Chez Julio
243,Fare,PF,79.41,overcast clouds,-16.7,-151.0167,hôtel Maitai Lapita Village
267,Gizo,SB,84.6,overcast clouds,-8.103,156.8419,Gizo Hotel
268,Sao Jose Da Coroa Grande,BR,78.01,overcast clouds,-8.8978,-35.1478,Hotel do Sol
270,Isangel,VU,81.25,broken clouds,-19.55,169.2667,Tanna Lodge
272,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Kununurra Country Club Resort
286,Bac Lieu,VN,75.97,broken clouds,9.285,105.7244,Khách sạn Bạc Liêu
287,Lampazos De Naranjo,MX,75.78,clear sky,27.0167,-100.5167,Hotel Lampazos
290,Lethem,GY,80.96,broken clouds,3.3803,-59.7968,Hotel Amazonas
304,Vao,NC,75.85,overcast clouds,-22.6667,167.4833,Nataiwatch
312,Luanda,AO,77.54,overcast clouds,-8.8368,13.2343,Hotel Forum
337,Ulladulla,AU,77.27,broken clouds,-35.35,150.4667,Hotel Marlin
345,Teahupoo,PF,80.56,broken clouds,-17.8333,-149.2667,Vanira Lodge
364,Grand-Lahou,CI,78.46,clear sky,5.1367,-5.0242,Cap Lahou
366,Catuday,PH,77.02,overcast clouds,16.2923,119.8062,Nina Anchors Inn
369,Bairiki,KI,80.74,few clouds,1.3292,172.9752,Marry's Motel
370,Monrovia,LR,78.4,few clouds,6.3005,-10.7969,Bella Casa Hotel
375,Saint-Pierre,RE,77.92,clear sky,-21.3393,55.4781,Tropic Hotel
379,Boueni,YT,78.78,scattered clouds,-12.9025,45.0761,La Case Robinson
383,Ballina,AU,80.02,broken clouds,-28.8667,153.5667,Ballina Beach Resort
398,Alice Springs,AU,88.21,clear sky,-23.7,133.8833,Aurora Alice Springs
401,Itarema,BR,77.5,overcast clouds,-2.9248,-39.9167,Pousada Oásis
410,Takoradi,GH,79.48,clear sky,4.8845,-1.7554,Hillcrest
414,Lagunas,PE,80.31,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
421,Byron Bay,AU,79.95,broken clouds,-28.65,153.6167,Lord Byron Resort
433,Los Banos,PH,79.74,overcast clouds,14.1667,121.1833,Palmridge Private Resort
434,Gurupi,BR,75.15,broken clouds,-11.7292,-49.0686,Via Norte
439,Banda Aceh,ID,77.13,overcast clouds,5.5577,95.3222,Hotel 61
452,Axim,GH,79.14,few clouds,4.8699,-2.2405,Axim Beach Hotel
464,Sao Joao Da Barra,BR,75.69,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
467,Daru,PG,79.05,overcast clouds,-9.0763,143.2092,Kuki
469,Lodwar,KE,84.24,scattered clouds,3.1191,35.5973,Lodwar Modern Lodge
476,Tomatlan,MX,77.74,overcast clouds,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
478,Mount Isa,AU,80.37,broken clouds,-20.7333,139.5,Ibis Styles
480,Lucelia,BR,80.38,heavy intensity rain,-21.7203,-51.0189,Hotel Lucélia
482,Souillac,MU,76.55,broken clouds,-20.5167,57.5167,Hotel SkylineInn
494,Todos Santos,MX,75.31,clear sky,23.45,-110.2167,Hotel Casa Tota
524,Sorong,ID,82.2,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
556,Roseau,DM,76.41,scattered clouds,15.3017,-61.3881,Madinina Lodgings
558,Cape Coast,GH,79.36,few clouds,5.1053,-1.2466,Mighty Victory Hotel
560,Touros,BR,78.96,broken clouds,-5.1989,-35.4608,Pousada Atlântico
562,Lucea,JM,75.06,clear sky,18.451,-78.1736,Blue Paloma Bed And Breakfast
566,Ambon,ID,82.04,overcast clouds,-3.6954,128.1814,Hotel Hero
567,Eldorado,BR,77.79,broken clouds,-23.7869,-54.2836,Hotel Laçador
569,Buchanan,LR,78.22,scattered clouds,5.8808,-10.0467,Phillipmena's Guesthouse
580,Makakilo City,US,80.98,few clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
597,Gorontalo,ID,80.33,broken clouds,0.5412,123.0595,Grand City Hotel
600,Celestun,MX,75.31,few clouds,20.8667,-90.4,Hotel Flamingo Playa
602,Jacmel,HT,76.84,few clouds,18.2342,-72.5347,Hotel L'Amenitie
